INFO 2025-03-08 01:57:33,084 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-08 01:57:33,317 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\wsgiref\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,317 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1738459696.6555355
DEBUG 2025-03-08 01:57:33,317 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1738459698.9930458
DEBUG 2025-03-08 01:57:33,317 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\admin_interface\templatetags\__init__.py first seen with mtime 1732853016.390591
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1738459697.3027036
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\click\globals.py first seen with mtime 1719199173.8339624
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1738459698.9955497
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,318 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1738459698.907864
DEBUG 2025-03-08 01:57:33,319 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\forms\utils.py first seen with mtime 1738459699.0195272
DEBUG 2025-03-08 01:57:33,319 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\hashable.py first seen with mtime 1738459699.1058223
DEBUG 2025-03-08 01:57:33,319 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\__init__.py first seen with mtime 1738459699.064339
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1738459696.6509244
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1738459699.122847
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\ipaddress.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\re\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,320 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\DLLs\_queue.pyd first seen with mtime 1717718102.0
DEBUG 2025-03-08 01:57:33,321 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1738459699.0773335
DEBUG 2025-03-08 01:57:33,321 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1738459697.0123718
DEBUG 2025-03-08 01:57:33,321 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\itsdangerous\_json.py first seen with mtime 1739926557.4129772
DEBUG 2025-03-08 01:57:33,321 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1738459697.3000546
DEBUG 2025-03-08 01:57:33,321 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\itsdangerous\encoding.py first seen with mtime 1739926557.4135053
DEBUG 2025-03-08 01:57:33,322 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\fnmatch.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,322 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\nturl2path.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,322 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\urls\static.py first seen with mtime 1738459696.6499252
DEBUG 2025-03-08 01:57:33,322 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\images.py first seen with mtime 1738459698.91604
DEBUG 2025-03-08 01:57:33,322 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\async_utils.py first seen with mtime 1719199159.9732263
DEBUG 2025-03-08 01:57:33,323 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\jinja2\optimizer.py first seen with mtime 1719199159.984859
DEBUG 2025-03-08 01:57:33,323 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\email\base64mime.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,323 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_text.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,323 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\logging\config.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,323 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\http\client.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,324 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\struct.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,324 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1738459698.955853
DEBUG 2025-03-08 01:57:33,324 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\inspect.py first seen with mtime 1738459699.1068356
DEBUG 2025-03-08 01:57:33,324 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\http\cookies.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,325 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\sqlite3\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,325 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1738459697.304917
DEBUG 2025-03-08 01:57:33,325 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\query.py first seen with mtime 1738459698.997555
DEBUG 2025-03-08 01:57:33,325 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\werkzeug\routing\matcher.py first seen with mtime 1739926556.706982
DEBUG 2025-03-08 01:57:33,326 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\locale.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,326 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1738459699.0742958
DEBUG 2025-03-08 01:57:33,326 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\utils.py first seen with mtime 1738459698.999057
DEBUG 2025-03-08 01:57:33,326 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,326 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1738459697.2985518
DEBUG 2025-03-08 01:57:33,327 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,327 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1738459698.9335692
DEBUG 2025-03-08 01:57:33,327 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1738459698.953804
DEBUG 2025-03-08 01:57:33,327 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\subprocess.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,327 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1738459698.922233
DEBUG 2025-03-08 01:57:33,328 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1738459699.1022737
DEBUG 2025-03-08 01:57:33,328 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1738459698.9803803
DEBUG 2025-03-08 01:57:33,328 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\asyncio\windows_events.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,328 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,328 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\email\__init__.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,329 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\asyncio\mixins.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,329 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1738459698.948344
DEBUG 2025-03-08 01:57:33,329 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1738459696.65253
DEBUG 2025-03-08 01:57:33,330 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1738459699.0837655
DEBUG 2025-03-08 01:57:33,330 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\dis.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,330 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1738459699.1093414
DEBUG 2025-03-08 01:57:33,330 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\flask\json\provider.py first seen with mtime 1739926557.5963662
DEBUG 2025-03-08 01:57:33,330 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\DLLs\_elementtree.pyd first seen with mtime 1717718102.0
DEBUG 2025-03-08 01:57:33,331 autoreload File C:\Users\lisai\OneDrive\Escritorio\Dev\Medidor Inteligente\medidor\app\views.py first seen with mtime 1741409100.356273
DEBUG 2025-03-08 01:57:33,331 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1738459699.0016432
DEBUG 2025-03-08 01:57:33,331 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\temp.py first seen with mtime 1738459698.9175801
DEBUG 2025-03-08 01:57:33,331 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\markupsafe\__init__.py first seen with mtime 1719199154.3309357
DEBUG 2025-03-08 01:57:33,332 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\click\exceptions.py first seen with mtime 1719199173.8329637
DEBUG 2025-03-08 01:57:33,332 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\statistics.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,332 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\zipfile\_path\glob.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,332 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\markupsafe\_speedups.cp312-win_amd64.pyd first seen with mtime 1719199154.332963
DEBUG 2025-03-08 01:57:33,332 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1738459699.085356
DEBUG 2025-03-08 01:57:33,332 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\hashlib.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,333 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1738459699.1172068
DEBUG 2025-03-08 01:57:33,333 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\__init__.py first seen with mtime 1738459696.4025912
DEBUG 2025-03-08 01:57:33,333 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1738459698.2529392
DEBUG 2025-03-08 01:57:33,333 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1738459699.0047047
DEBUG 2025-03-08 01:57:33,334 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1738459697.4779005
DEBUG 2025-03-08 01:57:33,334 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1738459698.9006462
DEBUG 2025-03-08 01:57:33,334 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_collections.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,334 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\__init__.py first seen with mtime 1738459696.3984106
DEBUG 2025-03-08 01:57:33,334 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\dates.py first seen with mtime 1738459699.1017654
DEBUG 2025-03-08 01:57:33,335 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\asyncio\coroutines.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,335 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\click\decorators.py first seen with mtime 1719199173.8319535
DEBUG 2025-03-08 01:57:33,335 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\_compat_pickle.py first seen with mtime 1717718052.0
DEBUG 2025-03-08 01:57:33,335 autoreload File C:\Users\lisai\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\apps\config.py first seen with mtime 1738459696.4009142
